"X","Y","Z","Radius"
288.79,335.71,276.40,5.66
288.78,335.71,276.40,5.66
288.78,335.71,276.40,5.66
288.78,335.70,276.40,5.66
288.78,335.70,276.40,5.66
288.78,335.71,276.40,5.67
288.78,335.71,276.42,5.68
288.79,335.73,276.43,5.69
288.80,335.74,276.46,5.71
288.80,335.77,276.49,5.72
288.81,335.81,276.53,5.74
288.82,335.86,276.58,5.76
288.82,335.91,276.64,5.77
288.83,335.97,276.70,5.79
288.84,336.04,276.76,5.80
288.85,336.10,276.83,5.81
288.86,336.17,276.90,5.82
288.86,336.24,276.97,5.83
288.87,336.32,277.04,5.84
288.88,336.38,277.10,5.84
288.88,336.45,277.16,5.85
288.88,336.51,277.21,5.85
288.89,336.57,277.26,5.85
288.89,336.61,277.30,5.86
288.89,336.66,277.33,5.86
288.89,336.69,277.36,5.86
288.88,336.72,277.37,5.86
288.88,336.74,277.38,5.86
288.87,336.75,277.37,5.86
288.85,336.75,277.36,5.87
288.84,336.74,277.34,5.87
288.82,336.73,277.31,5.88
288.80,336.70,277.26,5.88
288.77,336.66,277.21,5.89
288.75,336.61,277.15,5.89
288.72,336.56,277.09,5.89
288.70,336.52,277.03,5.89
288.68,336.48,276.99,5.87
288.67,336.45,276.96,5.85
288.66,336.44,276.95,5.82
288.67,336.45,276.98,5.78
288.69,336.48,277.03,5.72
288.72,336.55,277.12,5.66
288.77,336.65,277.26,5.58
288.84,336.79,277.45,5.51
288.93,336.97,277.68,5.43
289.03,337.18,277.95,5.36
289.14,337.41,278.26,5.30
289.26,337.66,278.58,5.24
289.39,337.92,278.92,5.20
289.52,338.18,279.26,5.18
289.65,338.44,279.60,5.17
289.77,338.69,279.92,5.17
289.89,338.92,280.22,5.19
290.00,339.12,280.49,5.21
290.09,339.29,280.72,5.23
290.16,339.42,280.91,5.25
290.22,339.52,281.05,5.27
290.27,339.59,281.15,5.29
290.30,339.63,281.21,5.30
290.33,339.64,281.25,5.30
290.34,339.64,281.27,5.30
290.35,339.62,281.26,5.29
290.35,339.60,281.25,5.28
290.35,339.57,281.22,5.26
290.35,339.53,281.19,5.25
290.34,339.50,281.15,5.24
290.34,339.48,281.13,5.23
290.34,339.46,281.11,5.22
290.34,339.45,281.10,5.22
290.35,339.45,281.09,5.22
290.35,339.46,281.10,5.22
290.36,339.47,281.11,5.22
290.37,339.49,281.13,5.23
290.39,339.51,281.15,5.24
290.41,339.54,281.19,5.24
290.43,339.58,281.24,5.25
290.45,339.61,281.29,5.26
290.48,339.65,281.36,5.26
290.52,339.70,281.43,5.27
290.55,339.74,281.51,5.27
290.59,339.79,281.60,5.27
290.63,339.84,281.69,5.28
290.67,339.89,281.78,5.28
290.71,339.94,281.87,5.28
290.74,339.99,281.96,5.28
290.78,340.04,282.05,5.28
290.82,340.09,282.13,5.28
290.85,340.13,282.20,5.28
290.87,340.17,282.27,5.28
290.90,340.21,282.32,5.28
290.92,340.25,282.37,5.28
290.93,340.28,282.41,5.28
290.94,340.32,282.44,5.28
290.95,340.35,282.47,5.27
290.95,340.39,282.50,5.27
290.95,340.44,282.53,5.26
290.95,340.48,282.57,5.25
290.95,340.54,282.61,5.25
290.95,340.60,282.66,5.24
290.95,340.67,282.73,5.23
290.95,340.76,282.80,5.23
290.95,340.85,282.89,5.23
290.95,340.95,283.00,5.22
290.95,341.07,283.11,5.23
290.95,341.18,283.23,5.23
290.95,341.30,283.36,5.24
290.96,341.41,283.48,5.24
290.96,341.52,283.60,5.25
290.96,341.63,283.72,5.26
290.97,341.73,283.83,5.28
290.98,341.82,283.93,5.28
290.99,341.90,284.01,5.30
291.00,341.97,284.08,5.30
291.01,342.02,284.14,5.31
291.02,342.06,284.17,5.32
291.03,342.08,284.20,5.32
291.04,342.10,284.22,5.32
291.05,342.11,284.22,5.33
291.06,342.11,284.22,5.33
291.07,342.11,284.22,5.33
291.08,342.10,284.21,5.33
291.08,342.08,284.19,5.33
291.09,342.07,284.18,5.32
291.09,342.05,284.17,5.32
291.08,342.04,284.16,5.32
291.08,342.02,284.16,5.31
291.08,342.01,284.15,5.31
291.08,342.00,284.15,5.30
291.08,342.00,284.16,5.30
291.08,342.00,284.17,5.29
291.09,342.01,284.18,5.29
291.10,342.03,284.19,5.28
291.12,342.06,284.21,5.27
291.15,342.10,284.24,5.27
291.19,342.14,284.27,5.26
291.24,342.21,284.30,5.25
291.29,342.28,284.34,5.24
291.36,342.37,284.38,5.24
291.43,342.46,284.43,5.23
291.51,342.57,284.48,5.22
291.59,342.68,284.53,5.21
291.68,342.80,284.58,5.21
291.77,342.92,284.64,5.20
291.86,343.05,284.69,5.19
291.94,343.18,284.75,5.19
292.03,343.31,284.81,5.18
292.11,343.45,284.87,5.18
292.18,343.58,284.92,5.18
292.26,343.71,284.98,5.18
292.33,343.84,285.03,5.18
292.39,343.96,285.08,5.19
292.45,344.07,285.12,5.19
292.51,344.18,285.15,5.20
292.57,344.27,285.18,5.20
292.62,344.36,285.21,5.20
292.67,344.42,285.22,5.20
292.72,344.48,285.22,5.20
292.76,344.51,285.21,5.20
292.80,344.53,285.20,5.19
292.84,344.53,285.17,5.17
292.88,344.52,285.14,5.16
292.91,344.52,285.11,5.14
292.94,344.52,285.08,5.12
292.97,344.52,285.06,5.11
292.99,344.55,285.06,5.10
293.01,344.60,285.07,5.09
293.02,344.68,285.10,5.10
293.03,344.79,285.16,5.11
293.03,344.95,285.24,5.14
293.02,345.15,285.36,5.18
293.01,345.40,285.51,5.22
292.99,345.69,285.69,5.27
292.98,346.01,285.89,5.33
292.95,346.34,286.10,5.39
292.93,346.69,286.32,5.45
292.91,347.04,286.54,5.51
292.89,347.38,286.75,5.57
292.88,347.70,286.96,5.62
292.86,348.00,287.14,5.68
292.86,348.26,287.31,5.73
292.86,348.48,287.44,5.77
292.87,348.65,287.54,5.82
292.88,348.77,287.61,5.85
292.91,348.85,287.65,5.89
292.93,348.90,287.66,5.92
292.97,348.92,287.66,5.94
293.00,348.91,287.64,5.96
293.04,348.89,287.61,5.98
293.09,348.86,287.57,5.99
293.13,348.82,287.53,6.01
293.18,348.78,287.49,6.01
293.22,348.74,287.46,6.02
293.27,348.72,287.43,6.03
293.31,348.72,287.42,6.04
293.35,348.72,287.41,6.05
293.39,348.74,287.41,6.06
293.43,348.76,287.41,6.07
293.47,348.79,287.43,6.09
293.51,348.83,287.44,6.11
293.54,348.87,287.46,6.12
293.58,348.92,287.48,6.14
293.61,348.97,287.50,6.16
293.64,349.02,287.52,6.18
293.68,349.06,287.54,6.19
293.71,349.11,287.56,6.20
293.74,349.15,287.57,6.22
293.77,349.19,287.58,6.23
293.79,349.22,287.59,6.24
293.82,349.25,287.59,6.24
293.84,349.27,287.59,6.25
293.86,349.29,287.59,6.25
293.88,349.30,287.59,6.25
293.89,349.31,287.58,6.25
293.90,349.30,287.58,6.25
293.91,349.29,287.57,6.24
293.91,349.27,287.55,6.24
293.92,349.24,287.54,6.23
293.91,349.20,287.53,6.23
293.91,349.17,287.52,6.22
293.91,349.15,287.51,6.22
293.91,349.13,287.51,6.21
293.91,349.13,287.51,6.21
293.92,349.14,287.52,6.20
293.93,349.18,287.55,6.20
293.94,349.24,287.58,6.20
293.97,349.32,287.63,6.20
294.00,349.45,287.70,6.20
294.04,349.60,287.78,6.20
294.09,349.78,287.87,6.20
294.14,349.99,287.97,6.19
294.21,350.20,288.09,6.18
294.28,350.43,288.21,6.17
294.36,350.66,288.33,6.16
294.45,350.89,288.46,6.14
294.55,351.10,288.58,6.12
294.66,351.30,288.70,6.11
294.77,351.47,288.82,6.09
294.89,351.61,288.93,6.08
295.02,351.72,289.02,6.07
295.15,351.79,289.11,6.07
295.28,351.83,289.19,6.07
295.42,351.84,289.25,6.09
295.55,351.83,289.30,6.11
295.67,351.80,289.34,6.13
295.79,351.75,289.36,6.16
295.90,351.69,289.37,6.19
295.99,351.62,289.37,6.22
296.08,351.55,289.35,6.25
296.14,351.48,289.32,6.28
296.18,351.41,289.27,6.31
296.20,351.35,289.20,6.33
296.20,351.30,289.13,6.35
296.20,351.26,289.06,6.36
296.18,351.23,289.00,6.36
296.16,351.21,288.94,6.36
296.14,351.20,288.91,6.34
296.12,351.21,288.90,6.32
296.11,351.24,288.93,6.30
296.11,351.28,288.99,6.26
296.13,351.34,289.10,6.22
296.17,351.42,289.26,6.16
296.23,351.52,289.48,6.11
296.31,351.64,289.75,6.05
296.41,351.77,290.06,5.99
296.52,351.91,290.40,5.93
296.65,352.06,290.76,5.89
296.78,352.20,291.12,5.85
296.92,352.34,291.48,5.82
297.05,352.46,291.83,5.81
297.19,352.58,292.15,5.82
297.31,352.67,292.44,5.83
297.42,352.74,292.68,5.86
297.52,352.78,292.86,5.89
297.60,352.79,292.98,5.92
297.66,352.79,293.05,5.95
297.71,352.76,293.08,5.98
297.74,352.73,293.07,6.00
297.76,352.70,293.05,6.00
297.76,352.67,293.01,6.00
297.75,352.66,292.98,5.98
297.73,352.67,292.95,5.96
297.69,352.70,292.93,5.93
297.65,352.77,292.95,5.91
297.59,352.88,293.01,5.88
297.52,353.04,293.11,5.85
297.44,353.23,293.25,5.83
297.36,353.47,293.42,5.81
297.28,353.73,293.63,5.81
297.20,354.02,293.85,5.81
297.12,354.33,294.09,5.81
297.05,354.64,294.34,5.82
297.00,354.96,294.58,5.84
296.96,355.28,294.82,5.85
296.93,355.59,295.04,5.87
296.93,355.88,295.24,5.88
296.95,356.15,295.41,5.89
296.99,356.40,295.56,5.89
297.06,356.62,295.67,5.89
297.14,356.83,295.76,5.88
297.24,357.02,295.83,5.88
297.36,357.19,295.88,5.87
297.48,357.36,295.92,5.86
297.62,357.51,295.94,5.86
297.75,357.65,295.96,5.86
297.89,357.80,295.97,5.86
298.04,357.93,295.98,5.87
298.17,358.07,296.00,5.88
298.31,358.21,296.02,5.89
298.43,358.36,296.04,5.91
298.56,358.50,296.07,5.93
298.68,358.64,296.09,5.95
298.80,358.78,296.12,5.96
298.92,358.91,296.14,5.98
299.04,359.04,296.16,5.99
299.16,359.16,296.18,5.99
299.29,359.27,296.18,6.00
299.41,359.37,296.19,6.00
299.54,359.47,296.18,6.00
299.68,359.54,296.16,5.99
299.82,359.61,296.13,5.99
299.95,359.67,296.09,5.99
300.10,359.71,296.05,5.98
300.23,359.75,296.00,5.98
300.37,359.77,295.95,5.97
300.49,359.79,295.89,5.97
300.61,359.81,295.84,5.97
300.71,359.81,295.79,5.97
300.80,359.82,295.75,5.98
300.88,359.82,295.71,5.98
300.94,359.82,295.68,5.98
300.98,359.82,295.66,5.99
301.00,359.82,295.65,5.99
301.01,359.81,295.65,5.99
301.01,359.81,295.65,6.00
301.00,359.81,295.65,6.00
300.99,359.81,295.66,6.01
300.97,359.81,295.67,6.01
300.96,359.81,295.68,6.01
300.95,359.81,295.68,6.01
300.95,359.82,295.68,6.01
300.96,359.83,295.68,6.01
300.99,359.83,295.67,6.01
301.03,359.85,295.65,6.01
301.08,359.86,295.63,6.01
301.14,359.88,295.60,6.01
301.22,359.91,295.57,6.00
301.30,359.93,295.54,6.00
301.40,359.96,295.50,6.00
301.50,359.99,295.47,6.00
301.61,360.03,295.44,5.99
301.73,360.06,295.41,5.99
301.84,360.10,295.39,5.99
301.97,360.15,295.38,5.99
302.09,360.19,295.37,5.99
302.22,360.24,295.37,6.00
302.34,360.29,295.37,6.00
302.47,360.34,295.38,6.00
302.60,360.40,295.39,6.01
302.72,360.45,295.41,6.01
302.84,360.50,295.43,6.02
302.96,360.55,295.45,6.03
303.07,360.60,295.47,6.03
303.18,360.65,295.50,6.04
303.28,360.69,295.52,6.05
303.38,360.73,295.55,6.06
303.47,360.77,295.57,6.07
303.55,360.81,295.60,6.09
303.63,360.84,295.62,6.10
303.71,360.88,295.64,6.11
303.78,360.91,295.67,6.12
303.86,360.94,295.69,6.14
303.93,360.98,295.71,6.15
304.01,361.01,295.73,6.17
304.08,361.05,295.75,6.18
304.16,361.08,295.76,6.20
304.25,361.13,295.78,6.21
304.33,361.17,295.80,6.22
304.43,361.22,295.81,6.23
304.52,361.27,295.82,6.24
304.60,361.32,295.84,6.25
304.69,361.37,295.85,6.26
